metric,value
accuracy,0.8721864951768489
f1,0.7699920899473313
f1 weighted,0.8725730023679115
precision,0.7749967077792353
precision weighted,0.8759110587429181
recall,0.7736888807920802
recall weighted,0.8721864951768489
