metric,value
accuracy,0.8786173633440515
f1,0.7714339877046382
f1 weighted,0.8775259250253189
precision,0.7848854580384655
precision weighted,0.8827015048407417
recall,0.7758034461163079
recall weighted,0.8786173633440515
