metric,value
accuracy,0.8794212218649518
f1,0.7849068807690615
f1 weighted,0.8790512345923325
precision,0.7974030069864635
precision weighted,0.8831156096449425
recall,0.7864049845455134
recall weighted,0.8794212218649518
