metric,value
accuracy,0.8633440514469454
f1,0.7638021281726721
f1 weighted,0.8594277378452672
precision,0.8361121896635288
precision weighted,0.8665836636732551
recall,0.7273167423467888
recall weighted,0.8633440514469454
