metric,value
accuracy,0.8585209003215434
f1,0.7316328979842461
f1 weighted,0.849178580904004
precision,0.8124631189418801
precision weighted,0.8556344801784105
recall,0.6938350811207314
recall weighted,0.8585209003215434
