metric,value
accuracy,0.8641479099678456
f1,0.7658723699496505
f1 weighted,0.8594175472629983
precision,0.8393840784122327
precision weighted,0.866346430037104
recall,0.7280688706600141
recall weighted,0.8641479099678456
