metric,value
accuracy,0.7765273311897106
f1,0.6072535798054355
f1 weighted,0.7768640355911876
precision,0.6159744744024447
precision weighted,0.7888467053128104
recall,0.6393500868757114
recall weighted,0.7765273311897106
