metric,value
accuracy,0.7114147909967846
f1,0.5607131016527844
f1 weighted,0.7041968112634062
precision,0.5942535256788858
precision weighted,0.7032190970645648
recall,0.5541873517542011
recall weighted,0.7114147909967846
