metric,value
accuracy,0.6487138263665595
f1,0.46763492817198177
f1 weighted,0.6553435924442526
precision,0.45509087389683045
precision weighted,0.6759723092347644
recall,0.5100007950821479
recall weighted,0.6487138263665595
