metric,value
accuracy,0.6752411575562701
f1,0.5217931142541048
f1 weighted,0.6736142387770641
precision,0.5469830288357949
precision weighted,0.680681243425687
recall,0.5208364812566613
recall weighted,0.6752411575562701
