metric,value
accuracy,0.7162379421221865
f1,0.5703298037195711
f1 weighted,0.7112843304176465
precision,0.6017969560624453
precision weighted,0.7172262418819878
recall,0.5698421601891963
recall weighted,0.7162379421221865
