metric,value
accuracy,0.8480707395498392
f1,0.7178427403078175
f1 weighted,0.844063873844504
precision,0.7503709638674828
precision weighted,0.8451833701309648
recall,0.7011061029169716
recall weighted,0.8480707395498392
