metric,value
accuracy,0.6438906752411575
f1,0.45857066387159784
f1 weighted,0.6523640901671252
precision,0.4391328943794998
precision weighted,0.6771595281730359
recall,0.5238380005245468
recall weighted,0.6438906752411575
